year,MSA,value
2008,StLouis,0.08320412276177308
2008,Tampa,0.06541606971209897
2008,WashingtonDC,0.0554981339841842
2009,Atlanta,0.06801184287119592
2009,Baltimore,0.06884098142293794
2009,Boston,0.05743903272515573
2009,Chicago,0.06940817345419752
2009,Columbus,0.07629888546872318
2009,Dallas,0.07494240225156772
2009,Denver,0.06997531758803667
2009,Detroit,0.08634578815765499
2009,Houston,0.07229688877369063
2009,Indianapolis,0.07711275078857467
2009,Jacksonville,0.08379887831483929
2009,LosAngeles,0.060055117264927446
2009,Miami,0.07980049561346135
2009,Minneapolis,0.06541046192950623
2009,NewYork,0.061814132140597305
2009,Philadelphia,0.0687378525859505
2009,Phoenix,0.06813890903578877
2009,SanAntonio,0.068769671425658
2009,SanDiego,0.06142962487062528
2009,SanFrancisco,0.04456158355202078
2009,SanJose,0.056975387528506095
2009,Seattle,0.06068699623057025
2009,StLouis,0.08076595114782417
2009,Tampa,0.07121026369977185
2009,WashingtonDC,0.06361019357494485
2010,Atlanta,0.0719131746314812
2010,Baltimore,0.06999114466861509
2010,Boston,0.06465597030133852
2010,Chicago,0.06479992622066418
2010,Columbus,0.0755063749002906
2010,Dallas,0.0684201433231831
2010,Denver,0.067178865048691
2010,Detroit,0.0971688114542705
2010,Houston,0.07332834478678235
2010,Indianapolis,0.05877415644884801
2010,Jacksonville,0.06747826548179428
2010,LosAngeles,0.06459326475152832
2010,Miami,0.07531898863556398
2010,Minneapolis,0.06843063637846494
2010,NewYork,0.06561828292321403
2010,Philadelphia,0.06900265374496939
2010,Phoenix,0.0666713030617949
2010,SanAntonio,0.06764452656464862
2010,SanDiego,0.0641962164504983
2010,SanFrancisco,0.055685031813594445
2010,SanJose,0.06051574940339738
2010,Seattle,0.062091922967331
2010,StLouis,0.07112569907247705
2010,Tampa,0.07356376055955816
2010,WashingtonDC,0.06476040465663238
2011,Atlanta,0.06730847110579753
2011,Baltimore,0.06223794110107915
2011,Boston,0.05843939350173257
2011,Chicago,0.06336708300603223
2011,Columbus,0.07384297776279855
2011,Dallas,0.06473016283240067
2011,Denver,0.05881753347615373
2011,Detroit,0.08849239780082653
2011,Houston,0.06108372862698258
2011,Indianapolis,0.07330084038013834
2011,Jacksonville,0.062477506644623274
2011,LosAngeles,0.058583657813803355
2011,Miami,0.07037786638111698
2011,Minneapolis,0.06573823640541074
2011,NewYork,0.05584402532026282
2011,Philadelphia,0.0665182716249113
2011,Phoenix,0.06102464997182785
2011,SanAntonio,0.06450085866628388
2011,SanDiego,0.057267475863887626
2011,SanFrancisco,0.05603473728700165
2011,SanJose,0.05463719695901245
2011,Seattle,0.0577385849849888
2011,StLouis,0.06966580556496847
2011,Tampa,0.07066268884768298
2011,WashingtonDC,0.060183605418696745
2012,Atlanta,0.06459526946841251
2012,Baltimore,0.06115536979208
2012,Boston,0.054831727803499694
2012,Chicago,0.06252002234463125
2012,Columbus,0.07250209615559913
2012,Dallas,0.06375648569606353
2012,Denver,0.05967152756917178
2012,Detroit,0.0801736584679092
2012,Houston,0.06447828389290303
2012,Indianapolis,0.07124250166196924
2012,Jacksonville,0.06564755992667652
2012,LosAngeles,0.055741679821537674
2012,Miami,0.06462504043386405
2012,Minneapolis,0.06252709125652778
2012,NewYork,0.05358535592020082
2012,Philadelphia,0.06316268820002195
2012,Phoenix,0.06028813914570212
2012,SanAntonio,0.06282481133245958
2012,SanDiego,0.054753926703193
2012,SanFrancisco,0.05128278934327423
2012,SanJose,0.050294660322048254
2012,Seattle,0.053073168119893294
2012,StLouis,0.0688814476684501
2012,Tampa,0.06476935130967772
2012,WashingtonDC,0.05758274142397113
2013,Atlanta,0.06363555384721785
2013,Baltimore,0.060423988217638905
2013,Boston,0.0528454392592188
2013,Chicago,0.06081351112983587
2013,Columbus,0.07426159864038437
2013,Dallas,0.06367444987805762
2013,Denver,0.0597043688323248
2013,Detroit,0.07551921714963714
2013,Houston,0.06879904507276177
2013,Indianapolis,0.06392953913803523
2013,Jacksonville,0.06593948544397846
2013,LosAngeles,0.053627437981621826
2013,Miami,0.05490691760732365
2013,Minneapolis,0.062382212278023305
2013,NewYork,0.04959561499997643
2013,Philadelphia,0.05971041390692172
2013,Phoenix,0.058825546762912156
2013,SanAntonio,0.06292534247648479
2013,SanDiego,0.05263741528127122
2013,SanFrancisco,0.0463638914241339
2013,SanJose,0.04680123936917108
2013,Seattle,0.05139289428418878
2013,StLouis,0.0668339880353235
2013,Tampa,0.06626283149549986
2013,WashingtonDC,0.0561118942832274
2014,Atlanta,0.06447532338147823
2014,Baltimore,0.05909236233295265
2014,Boston,0.055238150694921356
2014,Chicago,0.060904275790687676
2014,Columbus,0.06644189037815072
2014,Dallas,0.06301146919654878
2014,Denver,0.05829149012536447
2014,Detroit,0.07773514160649408
2014,Houston,0.06671022043071267
2014,Indianapolis,0.06778326746582113
2014,Jacksonville,0.06631292842781392
2014,LosAngeles,0.053239876401981405
2014,Miami,0.0574738573010915
2014,Minneapolis,0.060053104042300645
2014,NewYork,0.04701315268412242
2014,Philadelphia,0.060646706006257406
2014,Phoenix,0.0594986503054048
2014,SanAntonio,0.059252691885482524
2014,SanDiego,0.055132964112330346
2014,SanFrancisco,0.043693030056466575
2014,SanJose,0.0463380343474812
2014,Seattle,0.05235224179837257
2014,StLouis,0.06756545853879695
2014,Tampa,0.06624277230283135
2014,WashingtonDC,0.05720403603681028
2015,Atlanta,0.06109180893749755
2015,Baltimore,0.0571142182420183
2015,Boston,0.051168497978690025
2015,Chicago,0.05841954640113048
2015,Columbus,0.06719912990492008
2015,Dallas,0.06040032987857777
2015,Denver,0.056446712067098226
2015,Detroit,0.07167727898431946
2015,Houston,0.06351049165200259
2015,Indianapolis,0.06540659593218005
2015,Jacksonville,0.061342016822171226
2015,LosAngeles,0.04878891463655347
2015,Miami,0.05590472401403445
2015,Minneapolis,0.057258834655975824
2015,NewYork,0.047509207092945024
2015,Philadelphia,0.0589242677510003
2015,Phoenix,0.05682591729556623
2015,SanAntonio,0.05870242945118175
2015,SanDiego,0.049595585816415697
2015,SanFrancisco,0.041623306537615076
2015,SanJose,0.04751498659073735
2015,Seattle,0.05053902891629
2015,StLouis,0.06755193510901605
2015,Tampa,0.06203033369053702
2015,WashingtonDC,0.05491528790262803
2016,Atlanta,0.059496562855538476
2016,Baltimore,0.058399263194937004
2016,Boston,0.049322266652543925
2016,Chicago,0.05901943567177013
2016,Columbus,0.06531485079615393
2016,Dallas,0.058461315999278826
2016,Denver,0.05659038207454192
2016,Detroit,0.0705066669225012
2016,Houston,0.0626563113528082
2016,Indianapolis,0.06255527521620168
2016,Jacksonville,0.06236525694267483
2016,LosAngeles,0.04649817864143053
2016,Miami,0.054060854819699244
2016,Minneapolis,0.0558443581423421
2016,NewYork,0.045496521916314606
2016,Philadelphia,0.05711434520708543
2016,Phoenix,0.056683748854478376
2016,SanAntonio,0.058444551461916974
2016,SanDiego,0.049152918999682
2016,SanFrancisco,0.0430288489715163
2016,SanJose,0.045892288437588524
2016,Seattle,0.05075686654893745
2016,StLouis,0.06499061327130977
2016,Tampa,0.0588546180674258
2016,WashingtonDC,0.05383402424626675
2017,Atlanta,0.058079879159724505
2017,Baltimore,0.05862267021761297
2017,Boston,0.05158776948568832
2017,Chicago,0.05645313193646447
2017,Columbus,0.062080846662431674
2017,Dallas,0.057408658062767626
2017,Denver,0.05480692227253851
2017,Detroit,0.06676724089147139
2017,Houston,0.060440600340194744
2017,Indianapolis,0.06083483666234432
2017,Jacksonville,0.06035338343925
2017,LosAngeles,0.04495636948402687
